"Table with row headers in column A, and column headers in rows 7 through 10.  Leading dots indicate subparts.",,,,,,,,,,,,,,,,,,,,,,,
"MS-1.  Marital Status of the Population 15 Years Old and Over by Sex, Race and Hispanic Origin:  1950 to Present",,,,,,,,,,,,,,,,,,,,,,,
(Numbers in thousands),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"For more information about ASEC, including the source and accuracy statement, see the technical documentation accessible at: https://www.census.gov/programs-surveys/cps/technical-documentation/complete.html",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Men,,,,,,,,Women,,,,,,,,,,,,,,
,,,,   Unmarried,,,,,,,,   Unmarried,,,,,,,,,,,
,,,,,Never ,,,,,,,,Never ,,,,,,,,,,
Year,Total,Married1,,Total,married,Widowed,Divorced,,Total,Married1,,Total,married,Widowed,Divorced,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
.All races,,,,,,,,,,,,,,,,,,,,,,,
..2021,"129,300","67,544",,"61,757","47,351","3,582","10,824",,"136,835","68,331",,"68,505","41,808","11,612","15,085",,,,,,,,
..2020,"128,534","68,431",,"60,104","45,958","3,479","10,667",,"136,162","69,341",,"66,821","40,873","11,267","14,681",,,,,,,,
..2019,"127,903","68,504",,"59,399","45,279","3,465","10,655",,"135,554","69,254",,"66,300","40,084","11,412","14,804",,,,,,,,
..2018,"127,233","67,976",,"59,257","44,792","3,405","11,060",,"134,825","68,530",,"66,294","39,770","11,691","14,833",,,,,,,,
..2017,"125,660","67,667",,"57,993","43,825","3,277","10,891",,"133,403","68,082",,"65,320","39,087","11,642","14,591",,,,,,,,
..2016,"124,953","66,695",,"58,256","44,079","3,469","10,708",,"132,662","67,450",,"65,213","38,995","11,387","14,831",,,,,,,,
..2015,"123,621","66,347",,"57,274","43,052","3,270","10,952",,"131,395","67,217",,"64,179","37,974","11,331","14,874",,,,,,,,
..2014s,"122,353","65,853",,"56,499","42,711","3,059","10,729",,"129,871","66,732",,"63,139","37,311","11,214","14,614",,,,,,,,
..2013,"121,067","65,369",,"55,698","41,620","3,124","10,954",,"128,826","66,287",,"62,538","36,879","11,225","14,434",,,,,,,,
..2012,"119,877","65,281",,"54,595","41,035","2,864","10,696",,"127,695","66,049",,"61,646","36,238","11,193","14,215",,,,,,,,
..2011r,"118,670","64,995",,"53,675","40,128","2,969","10,578",,"126,605","65,772",,"60,834","35,456","11,454","13,924",,,,,,,,
..2011,"118,828","64,381",,"54,446","40,847","2,929","10,670",,"125,030","65,000",,"60,031","34,963","11,306","13,762",,,,,,,,
..2010,"117,686","64,525",,"53,161","40,206","2,974","9,981",,"124,361","65,197",,"59,165","34,037","11,368","13,760",,,,,,,,
..2009,"116,666","64,842",,"51,823","39,052","2,813","9,958",,"123,366","65,604",,"57,762","33,013","11,441","13,308",,,,,,,,
..2008,"115,599","64,217",,"51,383","38,685","2,916","9,782",,"122,394","64,638",,"57,756","32,794","11,398","13,564",,,,,,,,
..2007,"114,480","64,656",,"49,824","37,496","2,695","9,633",,"121,368","65,202",,"56,167","31,738","11,211","13,218",,,,,,,,
..2006,"113,073","63,683",,"49,389","37,086","2,624","9,679",,"119,966","64,121",,"55,846","31,429","11,290","13,127",,,,,,,,
..2005,"111,591","63,241",,"48,350","36,367","2,725","9,258",,"118,681","63,901",,"54,779","30,664","11,112","13,003",,,,,,,,
..2004,"110,048","62,535",,"47,513","35,885","2,648","8,980",,"117,295","63,345",,"53,950","29,975","11,146","12,829",,,,,,,,
..2003,"108,696","62,142",,"46,554","34,881","2,697","8,976",,"116,361","62,892",,"53,469","29,499","11,297","12,673",,,,,,,,
..2002,"106,819","61,268",,"45,551","34,229","2,636","8,686",,"114,639","62,102",,"52,537","28,861","11,408","12,268",,,,,,,,
..2001,"105,584","61,209",,"44,375","33,077","2,540","8,758",,"113,451","61,889",,"51,562","28,056","11,526","11,980",,,,,,,,
..2000,"103,114","59,684",,"43,429","32,253","2,604","8,572",,"110,660","60,527",,"50,133","27,763","11,061","11,309",,,,,,,,
..1999,"102,048","59,039",,"43,010","31,912","2,542","8,556",,"109,628","60,001",,"49,626","27,520","10,944","11,162",,,,,,,,
..1998,"101,123","58,633",,"42,491","31,591","2,569","8,331",,"108,168","59,333",,"48,835","26,713","11,029","11,093",,,,,,,,
..1997,"100,159","57,923",,"42,236","31,315","2,690","8,231",,"107,076","58,829",,"48,247","26,073","11,058","11,116",,,,,,,,
..1996,"98,593","57,656",,"40,937","30,691","2,478","7,768",,"106,031","58,905",,"47,127","25,528","11,078","10,521",,,,,,,,
..1995,"97,704","57,570",,"39,953","30,286","2,284","7,383",,"105,028","58,984",,"46,045","24,693","11,082","10,270",,,,,,,,
